day,all
20220915,7
20220915,71
20220915,19
20220915,78
20220915,1
20220915,119
20220915,392
20220915,20
20220915,337
20220915,12
20220915,28
20220915,357
20220915,1
20220915,200
20220915,134
20220915,34
20220915,26
20220915,7
20220915,14
20220915,18
20220915,10
20220915,556
20220915,27
20220915,9
20220915,9
20220915,39
20220915,8
20220915,18
20220915,31
20220915,95
20220915,31
20220915,7
20220915,6
20220915,52
20220915,1
20220915,14
20220915,15
20220915,23
20220915,16
20220915,18
20220915,9
20220915,285
20220915,62
20220915,169
20220915,3
20220915,1
20220915,280
20220915,70
20220915,5
20220915,2
20220915,3
20220915,15
20220915,3
20220915,18
20220915,4
20220915,11
20220915,11
20220915,22
20220915,1
20220915,14
20220915,6
20220915,40
20220915,31
20220915,7
20220915,8
20220915,2
20220915,35
20220915,6
20220915,3
20220915,19
20220915,4
20220915,28
20220915,11
20220915,9
20220915,12
20220915,3
20220915,2
20220915,1
20220915,166
20220915,22
20220915,2
20220915,5
20220915,66
20220915,17
20220915,24
20220915,25
20220915,253
20220915,4
20220915,153
20220915,13
20220915,1
20220915,11
20220915,120
20220915,1
20220915,441
20220915,1
20220915,1205
20220915,299
20220915,63
20220915,637
20220915,12
20220915,68
20220915,4
20220915,68
20220915,167
20220915,3
20220915,136
20220915,2862
20220915,60
20220915,331
20220915,75
20220915,2
20220915,292
20220915,1875
20220915,20
20220915,3
20220915,357
20220915,875
20220915,11170
20220915,2
20220915,101
20220915,1290
20220915,208
20220915,14
20220915,672
20220915,90
20220915,81
20220915,147
20220915,36
20220915,56
20220915,100
20220915,2383
20220915,250
20220915,10
20220915,1168
20220915,207
20220915,326
20220915,292
20220915,808
20220915,695
20220915,138
20220915,3
20220915,114
20220915,1502
20220915,135
20220915,34
20220915,656
20220915,7747
20220915,1866
20220915,8917
20220915,48156
20220915,7852
20220915,2263
20220915,17218
20220915,14
20220915,1786
20220915,1123
20220915,63959
20220915,13674
20220915,374
20220915,2551
20220915,3846
20220915,84998
20220915,599
20220915,285452
20220915,598573
20220915,519715
20220915,547910
20220915,10529
20220915,85902
20220915,4681447
20220915,2327582
20220915,18
20220915,65
20220915,3
20220915,25
20220915,2
20220915,93
20220915,15
20220915,6
20220915,8
20220915,12
20220915,6
20220915,145
20220915,8
20220915,49
20220915,1
20220915,14
20220915,17
20220915,56
20220915,4
20220915,3389
20220915,24
20220915,8
20220914,27
20220914,68
20220914,20
20220914,16
20220914,11
20220914,1
20220914,10
20220914,14
20220914,146
20220914,7
20220914,55
20220914,1
20220914,14
20220914,14
20220914,60
20220914,8
20220914,3447
20220914,30
20220914,22
20220914,5
20220914,17
20220914,63
20220914,76
20220914,1
20220914,1
20220914,118
20220914,391
20220914,13
20220914,338
20220914,21
20220914,10
20220914,390
20220914,176
20220914,162
20220914,22
20220914,43
20220914,5
20220914,11
20220914,18
20220914,11
20220914,559
20220914,1
20220914,15
20220914,5
20220914,7
20220914,13
20220914,39
20220914,42
20220914,92
20220914,23
20220914,28
20220914,1
20220914,1
20220914,6
20220914,55
20220914,1
20220914,14
20220914,11
20220914,19
20220914,1
20220914,13
20220914,5
20220914,15
20220914,281
20220914,52
20220914,1
20220914,169
20220914,2
20220914,1
20220914,1
20220914,278
20220914,75
20220914,2
